Ticker,FDX,FDX,FDX,FDX,FDX,JNJ,JNJ,JNJ,JNJ,JNJ,AAPL,AAPL,AAPL,AAPL,AAPL,HD,HD,HD,HD,HD,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,COP,COP,COP,COP,COP,MS,MS,MS,MS,MS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,148.26385660600863,150.90904877630499,147.5053738457665,149.76185607910156,3733800,158.86655969938695,160.02569576718093,158.12470978607675,159.69186401367188,6123800,148.97782224560154,149.99429659795183,146.09615013348827,147.3889617919922,88194300,272.5834894621297,273.77474214504235,268.4281459091568,272.161376953125,2615000,95.97117241436078,97.8422243688905,94.23945371213154,94.47830963134766,88114100,114.91648245063664,118.10450396631344,114.7874876042113,116.62106323242188,8139100,73.65763750465456,74.98274809499716,73.63936324269204,73.9409408569336,7733400
2022-10-27,150.69101450013972,151.9804310632874,148.50090584120932,148.76637268066406,1646700,159.82167669164642,160.8231577399284,159.23746762214083,159.78457641601562,5390900,146.12577976482095,147.09290769599798,142.2375113745511,142.89871215820312,109180200,273.7559834629861,276.0259330524285,271.5047836147867,273.01495361328125,3041500,94.0702480931704,94.97592174214003,91.36319687614095,91.78119659423828,60710900,117.66225480694446,119.27469764823606,116.31701762291576,116.68557739257812,8948500,74.93705395132467,75.3757129446826,73.65763944063292,73.7398910522461,6466400
2022-10-28,149.36367385823195,152.19849818442157,147.68554720444587,152.0467987060547,2568600,160.42444512699515,162.6407129069848,160.04424506922678,162.15850830078125,6073900,146.25406355734995,155.4319533375391,145.87906336998515,153.695068359375,164762400,272.020714349434,280.6128203480906,272.020714349434,280.1344299316406,3243100,91.8309566371646,96.09059787724979,91.6916233939895,95.83183288574219,43697300,118.39937796166237,118.85086703238939,114.26231217084909,117.17391967773438,7293200,74.06744238504614,75.94058788155854,73.36617352118498,75.86676788330078,7816100
2022-10-31,150.7668707286207,153.81026372160878,150.38762203673886,151.9614715576172,1911000,161.83395155277057,162.42742867678248,160.81390611324505,161.3239288330078,7810000,151.14893931793952,152.21476020669766,149.92521569193562,151.32656860351562,97943200,276.1572950976978,280.7253622896163,274.41259571632014,277.7706604003906,4210900,94.9659688055794,95.57306689870097,93.53282580597906,94.060302734375,31675000,115.70888805688475,119.77224697254992,115.69967213042715,116.17879486083984,7121000,75.45153996216236,76.91868259152169,75.37772699957108,75.82063293457031,9087400
2022-11-01,153.54476970543624,154.11363540918555,148.57673568902942,149.97991943359375,2199500,161.4073948734501,161.93596777102218,158.03199083424045,160.50790405273438,6985000,153.04374586124993,153.4088828100258,147.17187450407766,148.67190551757812,80379300,281.7477746017389,283.4736955722199,275.16300809881625,277.7049865722656,3309100,94.9958198123906,95.57306183643806,89.9399976095824,90.03952026367188,47161400,118.62050812615264,119.15491941229679,116.91592016070348,117.7359619140625,5875600,76.8171860128741,77.48155199125547,76.57727451182232,77.25086975097656,8195600
2022-11-02,148.64311318366242,151.88561336782232,146.31079534251504,146.538330078125,2281900,160.32244604033824,161.2961232813696,157.91143707679495,158.041259765625,6877300,146.99424473621292,150.17196650314528,143.09611227556596,143.12571716308594,93604600,276.89834499583156,281.56021849085977,270.63246664120015,270.8294677734375,4426400,90.50729412723294,90.74615003951523,86.46660714853941,86.55618286132812,57038300,117.09098361026786,119.59718138933832,115.90238214756053,116.56578826904297,7680400,77.00171586404426,80.01904299490585,76.97403512630716,77.85063171386719,10907500
2022-11-03,145.05927348188493,148.09319003388663,143.48542429755253,146.87962341308594,6053200,157.46631096971905,159.00564703135697,156.65955681133735,158.31016540527344,4819900,140.1946956802254,140.92498461939732,136.92815965034873,137.05645751953125,97918500,265.9893095006515,268.22175947433175,263.1190248560789,264.0476379394531,4823900,85.90926808736477,86.10831340135847,82.94344431306968,83.03302001953125,61288000,119.43131961307513,125.42039233895468,118.20586150665368,123.30119323730469,13209100,76.64185168093046,78.09053561166306,76.17126506282425,77.15858459472656,6447200
2022-11-04,149.0602763122887,150.6530772950532,146.10220907752188,148.5293426513672,1473800,159.0890942382956,159.96076676751693,156.93774519666843,159.01490783691406,5300900,140.456901891493,141.03023754059535,132.83552430474884,136.78955078125,140814800,268.1655061447194,270.9325959076923,260.2956526714297,266.4208068847656,4401600,84.99365177935555,86.22774949314112,83.3116906968652,86.16803741455078,51124900,126.23123135607175,127.60411623292876,119.458966239857,121.91910552978516,10663700,78.57037773629443,79.1240137422617,77.5092379516033,78.2935562133789,6929700
2022-11-07,149.7049533578613,151.39256985268133,148.88958694724056,150.9754180908203,1711900,159.19109629447257,161.2126367892384,158.97781923732506,160.40586853027344,6621000,135.53415428478314,137.55070131674174,134.1107022229699,137.32334899902344,83374600,268.7376974267226,273.6153215353035,265.30460508212,272.2739562988281,3260200,86.86471266814627,88.47700729545595,86.43675834322974,88.06895446777344,34078900,122.31528619331779,125.69680691921985,122.18629135029151,124.33314514160156,6882400,78.91177699615096,79.47464222090633,78.53346178599101,78.95791625976562,4599600
2022-11-08,151.6959742102161,154.81521631449726,149.16454937660575,151.2598419189453,3602700,160.54497257605416,161.99157199960683,159.66401792103647,161.20335388183594,5148400,138.79622744381308,139.80449340378325,135.90978972981833,137.8966827392578,89908500,274.29999866336505,275.1535841694763,269.79759918939845,273.0899963378906,3371800,88.47699737548828,89.89023890654045,87.17322545658932,88.47699737548828,30429000,123.74347217739572,124.64643622273503,121.83617591595967,123.87246704101562,5039800,78.994817456823,79.56691187850035,77.97981712921556,78.69031524658203,4850300
